-25	-25	5	70	8	19	
-3	-7	3	45	8	13	
-9	9	2	9	8	31	
10	1	3	1	8	42	
2	-10	7	0	8	7	
2	15	1	-90	8	1	


-24.829	-24.5302	5	70	8	19	
-2.78787	-6.78787	3	45	8	13	
-8.80246	9.03129	2	9	8	31	
10.3	1.00524	3	1	8	42	
2.7	-10	7	0	8	7	
2	14.9	1	-90	8	1	


-24.658	-24.0603	5	70	8	19	
-2.57574	-6.57574	3	45	8	13	
-8.60492	9.06257	2	9	8	31	
10.5999	1.01047	3	1	8	42	
3.4	-10	7	0	8	7	
2	14.8	1	-90	8	1	


-22.9479	-19.3618	5	70	8	19	
-0.454416	-4.45442	3	45	8	13	
-6.62955	9.37544	2	9	8	31	
13.5995	1.06283	3	1	8	42	
10.4	-10	7	0	8	7	
2	13.8	1	-90	8	1	


-22.7769	-18.892	5	70	8	19	
-0.242284	-4.24228	3	45	8	13	
-6.43201	9.40673	2	9	8	31	
13.8994	1.06806	3	1	8	42	
11.1	-10	7	0	8	7	
2	13.7	1	-90	8	1	


-22.6059	-18.4222	5	70	8	19	
-0.0301515	-4.03015	3	45	8	13	
-6.23447	9.43802	2	9	8	31	
14.1994	1.0733	3	1	8	42	
11.8	-10	7	0	8	7	
2	13.6	1	-90	8	1	


-22.4348	-17.9523	5	70	8	19	
0.181981	-3.81802	3	45	8	13	
-6.03693	9.4693	2	9	8	31	
14.4993	1.07854	3	1	8	42	
12.5	-10	7	0	8	7	
2	13.5	1	-90	8	1	


-22.2638	-17.4825	5	70	8	19	
0.394113	-3.60589	3	45	8	13	
-5.8394	9.50059	2	9	8	31	
14.7993	1.08377	3	1	8	42	
13.2	-10	7	0	8	7	
2	13.4	1	-90	8	1	


-22.0928	-17.0126	5	70	8	19	
0.606245	-3.39376	3	45	8	13	
-5.64186	9.53188	2	9	8	31	
15.0992	1.08901	3	1	8	42	
13.9	-10	7	0	8	7	
2	13.3	1	-90	8	1	


-21.9218	-16.5428	5	70	8	19	
0.818377	-3.18162	3	45	8	13	
-5.44432	9.56316	2	9	8	31	
15.3992	1.09424	3	1	8	42	
14.6	-10	7	0	8	7	
2	13.2	1	-90	8	1	


-21.7508	-16.0729	5	70	8	19	
1.03051	-2.96949	3	45	8	13	
-5.24678	9.59445	2	9	8	31	
15.6991	1.09948	3	1	8	42	
15.3	-10	7	0	8	7	
2	13.1	1	-90	8	1	


-21.7337	-16.0259	5	70	8	19	
1.05172	-2.94828	3	45	8	13	
-5.22703	9.59758	2	9	8	31	
15.7291	1.1	3	1	8	42	
15.37	-10	7	0	8	7	
2	13.09	1	-90	8	1	


-21.7166	-15.979	5	70	8	19	
1.07294	-2.92706	3	45	8	13	
-5.20728	9.60071	2	9	8	31	
15.7591	1.10053	3	1	8	42	
15.44	-10	7	0	8	7	
2	13.08	1	-90	8	1	


-21.6995	-15.932	5	70	8	19	
1.09415	-2.90585	3	45	8	13	
-5.18752	9.60384	2	9	8	31	
15.7891	1.10105	3	1	8	42	
15.51	-10	7	0	8	7	
2	13.07	1	-90	8	1	


-21.6824	-15.885	5	70	8	19	
1.11536	-2.88464	3	45	8	13	
